Const,Title,imdb_genres
tt27847051,The Secret Agent,"Crime, Drama, Mystery"
tt2935510,Ad Astra,"Adventure, Drama, Mystery"
tt30343021,Song Sung Blue,"Biography, Drama, History"
tt14205554,KPop Demon Hunters,"Animation, Action, Adventure"
tt21103218,The Lost Bus,"Biography, Drama, History"
tt6263850,Deadpool & Wolverine,"Action, Adventure, Comedy"
tt15498808,Samuel,"Animation, Comedy, Drama"
tt31590095,For Worse,"Comedy, Romance"
tt13287846,Napoleon,"Action, Adventure, Biography"
tt29768334,Train Dreams,Drama
tt4154796,Avengers: Endgame,"Action, Adventure, Sci-Fi"
tt8946378,Knives Out,"Comedy, Crime, Drama"
tt0096874,Back to the Future Part II,"Adventure, Comedy, Sci-Fi"
tt8398600,After Life,"Comedy, Drama"
tt14142060,Rental Family,"Comedy, Drama"
tt14905854,Hamnet,"Biography, Drama, History"
tt0082971,Raiders of the Lost Ark,"Action, Adventure"
tt16277242,Society of the Snow,"Adventure, Biography, Drama"
tt24950660,Eternity,"Comedy, Drama, Fantasy"
tt0877057,Death Note,"Animation, Crime, Drama"
tt13833688,The Whale,Drama
tt39049192,Even if This Love Disappears from the World Tonight,"Drama, Romance"
tt27543632,The Housemaid,"Drama, Mystery, Thriller"
tt32916440,Marty Supreme,"Drama, Sport"
tt14107334,The Running Man,"Action, Adventure, Sci-Fi"
tt2545428,Meru,"Documentary, Sport"
tt12908150,The Life of Chuck,"Drama, Fantasy, Sci-Fi"
tt17526714,The Substance,"Drama, Horror, Sci-Fi"
tt9214772,Monkey Man,"Action, Crime, Thriller"
tt12300742,Bugonia,"Comedy, Crime, Sci-Fi"
tt6604188,Tron: Ares,"Action, Adventure, Sci-Fi"
tt0416449,300.0,"Action, Drama"
tt0371746,Iron Man,"Action, Adventure, Sci-Fi"
tt39307872,One Last Adventure: The Making of Stranger Things 5,Documentary
tt22740896,People We Meet on Vacation,Romance
tt14152140,Darlings,"Comedy, Drama, Thriller"
tt30144839,One Battle After Another,"Action, Crime, Drama"
tt0099487,Edward Scissorhands,"Drama, Fantasy, Romance"
tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy"
tt14364480,Wake Up Dead Man,"Comedy, Crime, Drama"
tt15732324,OMG 2,"Comedy, Drama"
tt2283748,OMG: Oh My God!,"Comedy, Drama, Fantasy"
tt6967980,Seeking True Love,"Comedy, Romance"
tt4535650,Dilwale,"Action, Comedy, Drama"
tt10895576,Mimi,"Comedy, Drama"
tt20221436,Emilia Pérez,"Crime, Drama, Musical"
tt31998881,Oh. What. Fun.,Comedy
tt2181931,English Vinglish,"Comedy, Drama, Family"
tt23849204,12th Fail,"Biography, Drama"
tt9218128,Gladiator II,"Action, Adventure, Drama"
tt0172495,Gladiator,"Action, Adventure, Drama"
tt2806788,Fukrey,"Comedy, Drama, Romance"
tt6225520,The Man Who Invented Christmas,"Biography, Comedy, Drama"
tt11934846,Badhaai Do,"Comedy, Drama, Romance"
tt21626284,Lost Ladies,"Comedy, Drama"
tt24852126,Jingle Bell Heist,"Comedy, Crime, Romance"
tt0072777,Chhoti Si Baat,"Comedy, Romance"
tt31973693,The Roses,Comedy
tt35600079,A Very Jonas Christmas Movie,"Comedy, Drama, Musical"
tt38608937,One Shot with Ed Sheeran,Music
tt29567915,Nuremberg,"Biography, Drama, History"
tt5950044,Superman,"Action, Adventure, Sci-Fi"
tt34992378,A Merry Little Ex-Mas,Comedy
tt1312221,Frankenstein,"Drama, Fantasy, Horror"
tt7725596,Badhaai Ho,"Comedy, Drama"
tt8332922,A Quiet Place Part II,"Drama, Horror, Sci-Fi"
tt6644200,A Quiet Place,"Drama, Horror, Sci-Fi"
tt7130300,The Woman in Cabin 10,"Drama, Mystery, Thriller"
tt27075958,Fountain of Youth,"Action, Adventure, Fantasy"
tt0083866,E.T. the Extra-Terrestrial,"Adventure, Family, Sci-Fi"
tt3581932,And Then There Were None,"Crime, Drama, Mystery"
tt35520290,The Baltimorons,"Comedy, Drama, Romance"
tt37898320,aka Charlie Sheen,"Documentary, Biography"
tt2649356,Sharp Objects,"Crime, Drama, Mystery"
tt0209144,Memento,"Drama, Mystery, Thriller"
tt2350496,The Lunchbox,"Drama, Romance"
tt16431330,A Nice Indian Boy,"Comedy, Drama, Romance"
tt0155267,The Thomas Crown Affair,"Crime, Romance, Thriller"
tt12001534,The Thursday Murder Club,"Comedy, Crime, Mystery"
tt6341832,Oxygen,"Drama, Fantasy, Sci-Fi"
tt31956415,Freakier Friday,"Comedy, Family, Fantasy"
tt0120184,Sphere,"Mystery, Sci-Fi, Thriller"
tt0071315,Chinatown,"Drama, Mystery, Thriller"
tt31806037,Adolescence,"Crime, Drama, Thriller"
tt30988739,Black Bag,"Drama, Mystery, Romance"
tt31193180,Sinners,"Action, Drama, Horror"
tt0899043,The Amateur,"Action, Thriller"
tt32149847,Drop,"Drama, Mystery, Thriller"
tt29603959,Novocaine,"Action, Comedy, Crime"
tt10676052,The Fantastic Four: First Steps,"Action, Adventure, Sci-Fi"
tt6334354,The Suicide Squad,"Action, Adventure, Comedy"
tt9619824,Final Destination: Bloodlines,"Horror, Thriller"
tt14403504,Last Breath,"Drama, Thriller"
tt9032400,Eternals,"Action, Adventure, Fantasy"
tt31036941,Jurassic World: Rebirth,"Action, Adventure, Sci-Fi"
tt16311594,F1: The Movie,"Action, Drama, Sport"
tt0108358,Tombstone,"Biography, Drama, History"
tt0765429,American Gangster,"Biography, Crime, Drama"
tt0108052,Schindler's List,"Biography, Drama, History"
tt30253473,Materialists,"Comedy, Drama, Romance"
tt0892769,How to Train Your Dragon,"Animation, Action, Adventure"
tt31121295,Deep Cover,"Action, Comedy, Crime"
tt9603208,Mission: Impossible - The Final Reckoning,"Action, Adventure, Thriller"
tt14513804,Captain America: Brave New World,"Action, Adventure, Sci-Fi"
tt20969586,Thunderbolts*,"Action, Adventure, Crime"
tt11655566,Lilo & Stitch,"Action, Adventure, Comedy"
tt33088401,Dream Productions,"Animation, Adventure, Comedy"
tt1231587,Hot Tub Time Machine,"Comedy, Sci-Fi"
tt26584495,Companion,"Sci-Fi, Thriller"
tt14164922,Asterix & Obelix: The Big Fight,"Animation, Action, Adventure"
tt20214908,Another Simple Favor,"Comedy, Crime, Mystery"
tt7040874,A Simple Favor,"Comedy, Crime, Mystery"
tt7985704,Operation Fortune: Ruse de Guerre,"Action, Adventure, Comedy"
tt0099077,Awakenings,"Biography, Drama"
tt0071360,The Conversation,"Drama, Mystery, Thriller"
tt0313542,Runaway Jury,"Crime, Drama, Thriller"
tt0093260,Innerspace,"Action, Adventure, Comedy"
tt28015403,Heretic,"Horror, Thriller"
tt24176060,Queer,"Biography, Drama, History"
tt13186482,Mufasa: The Lion King,"Animation, Adventure, Drama"
tt0275847,Lilo & Stitch,"Animation, Adventure, Comedy"
tt1706620,Snowpiercer,"Action, Sci-Fi, Thriller"
tt7766378,The Electric State,"Action, Adventure, Comedy"
tt3263946,Trial by Fire,"Biography, Drama"
tt12299608,Mickey 17,"Adventure, Comedy, Fantasy"
tt14257582,Wolfs,"Comedy, Crime, Thriller"
tt16366836,Venom: The Last Dance,"Action, Fantasy, Horror"
tt7097896,Venom: Let There Be Carnage,"Action, Adventure, Crime"
tt11563598,A Complete Unknown,"Biography, Drama, Music"
tt23055660,Nickel Boys,Drama
tt20215234,Conclave,"Drama, Thriller"
tt13654226,The Gorge,"Action, Adventure, Horror"
tt1896747,Fly Me to the Moon,"Comedy, Romance"
tt10919420,Squid Game,"Action, Crime, Drama"
tt16419074,Air,"Drama, Sport"
tt28607951,Anora,"Comedy, Drama, Romance"
tt9419884,Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy"
tt18272208,Here,Drama
tt3864060,Unstoppable,"Drama, Sport"
tt1726592,Before I Go to Sleep,"Drama, Mystery, Thriller"
tt27657135,Saturday Night,"Biography, Comedy, Drama"
tt8999762,The Brutalist,Drama
tt14948432,Red One,"Action, Adventure, Comedy"
tt14858658,Blink Twice,"Mystery, Thriller"
tt21191806,Back in Action,"Action, Comedy"
tt21823606,A Real Pain,"Comedy, Drama"
tt0195685,Erin Brockovich,"Biography, Drama"
tt6166392,Wonka,"Adventure, Comedy, Family"
tt1262426,Wicked,"Fantasy, Musical, Romance"
tt12810074,Nightbitch,"Comedy, Drama, Fantasy"
tt26753003,Trap,"Crime, Horror, Mystery"
tt27403986,Juror #2,"Crime, Drama, Mystery"
tt21382296,Carry-On,"Action, Crime, Thriller"
tt31022050,Our Little Secret,"Comedy, Romance"
tt14855468,That Christmas,"Animation, Adventure, Comedy"
tt26420234,Music by John Williams,"Documentary, Biography, Music"
tt10855768,Missing,"Drama, Mystery, Thriller"
tt20234774,Wicked Little Letters,"Biography, Comedy, Crime"
tt33395815,An Almost Christmas Story,"Animation, Short, Adventure"
tt32359447,Hot Frosty,"Comedy, Fantasy, Romance"
tt23778968,Thelma,"Action, Comedy"
tt23841116,Adrianne & the Castle,Documentary
tt12584954,Twisters,"Action, Adventure, Thriller"
tt27131358,We Live in Time,"Drama, Romance"
tt3581920,The Last of Us,"Action, Adventure, Drama"
tt20502488,Meet Me Next Christmas,"Comedy, Romance"
tt0443465,Before We Go,"Comedy, Drama, Romance"
tt0241303,Chocolat,"Drama, Romance"
tt2906216,Dungeons & Dragons: Honor Among Thieves,"Action, Adventure, Comedy"
tt0083806,Deathtrap,"Comedy, Crime, Drama"
tt18559464,My Old Ass,"Comedy, Drama, Romance"
tt0367594,Charlie and the Chocolate Factory,"Adventure, Comedy, Family"
tt0405508,Rang De Basanti,"Comedy, Crime, Drama"
tt0407887,The Departed,"Crime, Drama, Thriller"
tt20194882,Lonely Planet,"Drama, Romance"
tt23770030,Memoir of a Snail,"Animation, Drama"
tt0084787,The Thing,"Horror, Mystery, Sci-Fi"
tt1130884,Shutter Island,"Drama, Mystery, Thriller"
tt0073195,Jaws,"Adventure, Horror, Thriller"
tt7737800,Woman of the Hour,"Crime, Drama, Mystery"
tt26933824,Nobody Wants This,"Comedy, Drama, Romance"
tt14577874,It's What's Inside,"Comedy, Mystery, Sci-Fi"
tt0120791,Practical Magic,"Comedy, Drama, Fantasy"
tt27902121,Super/Man: The Christopher Reeve Story,"Documentary, Biography"
tt0087800,A Nightmare on Elm Street,Horror
tt2345759,The Mummy,"Action, Adventure, Fantasy"
tt13405810,Quiz Lady,Comedy
tt1660648,Ricky Stanicky,Comedy
tt0435761,Toy Story 3,"Animation, Adventure, Comedy"
tt10767052,Next Goal Wins,"Comedy, Drama, Sport"
tt0356470,A Cinderella Story,"Comedy, Family, Romance"
tt0120363,Toy Story 2,"Animation, Adventure, Comedy"
tt21051906,A Family Affair,"Comedy, Drama, Romance"
tt23289160,Godzilla Minus One,"Action, Adventure, Drama"
tt0379725,Capote,"Biography, Crime, Drama"
tt11080108,The Map of Tiny Perfect Things,"Comedy, Fantasy, Romance"
tt0361841,Little Black Book,"Comedy, Drama, Romance"
tt20215968,Hit Man,"Comedy, Crime, Romance"
tt22022452,Inside Out 2,"Animation, Adventure, Comedy"
tt9466114,The Idea of You,"Comedy, Drama, Music"
tt1058017,The Invention of Lying,"Comedy, Fantasy, Romance"
tt3758542,Ferrari,"Biography, Drama, History"
tt2183014,Love at First Sight,"Drama, Romance"
tt2582846,The Fault in Our Stars,"Drama, Romance"
tt3719896,My All-American,"Biography, Drama, Sport"
tt21064584,The Iron Claw,"Biography, Drama, Sport"
tt21276958,Babes,Comedy
tt17279496,Civil War,"Action, Thriller, War"
tt11152168,IF,"Animation, Comedy, Drama"
tt16426418,Challengers,"Comedy, Drama, Romance"
tt0758752,Love & Other Drugs,"Comedy, Drama, Romance"
tt1684562,The Fall Guy,"Action, Comedy, Drama"
tt26047818,Anyone But You,"Comedy, Romance"
tt0092513,Adventures in Babysitting,"Adventure, Comedy, Crime"
tt21942866,Dream Scenario,"Comedy, Drama, Fantasy"
tt9185206,"Are You There God? It's Me, Margaret.","Comedy, Drama, Family"
tt5027774,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama"
tt0482571,The Prestige,"Drama, Mystery, Sci-Fi"
tt5177120,The Ministry of Ungentlemanly Warfare,"Action, Comedy, War"
tt21279806,Scoop,"Biography, Drama"
tt15009428,Argylle,"Action, Comedy, Thriller"
tt13745850,The Last Thing He Told Me,"Drama, Mystery, Thriller"
tt0871510,Chak De! India,"Drama, Family, Sport"
tt21740488,Little Death,"Comedy, Drama"
tt10676048,The Marvels,"Action, Adventure, Sci-Fi"
tt0337741,Something's Gotta Give,"Comedy, Drama, Romance"
tt21235248,Ghostbusters: Frozen Empire,"Adventure, Comedy, Fantasy"
tt7775720,Spoiler Alert,"Comedy, Drama, Romance"
tt13651794,May December,"Comedy, Drama"
tt21957774,Irish Wish,"Comedy, Fantasy, Romance"
tt15239678,Dune: Part Two,"Action, Adventure, Drama"
tt15078804,Problemista,Comedy
tt13452446,Damsel,"Action, Adventure, Fantasy"
tt15258106,Arctic Ascent with Alex Honnold,"Documentary, Adventure"
tt14230458,Poor Things,"Comedy, Drama, Romance"
tt7160372,The Zone of Interest,"Drama, History, War"
tt23561236,American Fiction,"Comedy, Drama"
tt17009710,Anatomy of a Fall,"Crime, Drama, Mystery"
tt13238346,Past Lives,"Drama, Romance"
tt0092890,Dirty Dancing,"Drama, Music, Romance"
tt15789038,Elemental,"Animation, Adventure, Comedy"
tt5537002,Killers of the Flower Moon,"Crime, Drama, History"
tt22687790,A Haunting in Venice,"Crime, Drama, Horror"
tt5535276,Maestro,"Biography, Drama, History"
tt14849194,The Holdovers,"Comedy, Drama"
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi"
tt0246460,Die Another Day,"Action, Adventure, Thriller"
tt16968450,The Wonderful Story of Henry Sugar,"Short, Adventure, Comedy"
tt28912758,The Swan,"Short, Comedy, Drama"
tt28912858,The Rat Catcher,"Short, Comedy"
tt28912885,Poison,"Short, Comedy, Drama"
tt4857264,The Invisible Guest,"Crime, Drama, Mystery"
tt9140554,Loki,"Action, Adventure, Fantasy"
tt21328106,Candy Cane Lane,"Comedy, Family, Fantasy"
tt13430858,What's Love Got to Do with It?,"Comedy, Drama, Romance"
tt0088258,This Is Spinal Tap,"Comedy, Music"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"Comedy, Drama, Family"
tt15354916,Jawan,"Action, Crime, Drama"
tt1922777,Sinister,"Horror, Mystery, Thriller"
tt7784604,Hereditary,"Drama, Horror, Mystery"
tt1695843,Haunted Mansion,"Comedy, Drama, Family"
tt17527468,Bottoms,Comedy
tt1175709,All Good Things,"Crime, Drama, Mystery"
tt1230414,It's Complicated,"Comedy, Drama, Romance"
tt4495098,Gran Turismo,"Action, Adventure, Drama"
tt0095159,A Fish Called Wanda,"Comedy, Crime"
tt10276482,Love Again,"Comedy, Drama, Romance"
tt0439572,The Flash,"Action, Adventure, Fantasy"
tt21276878,You Are So Not Invited to My Bat Mitzvah,Comedy
tt15398776,Oppenheimer,"Biography, Drama, History"
tt12758060,Tetris,"Biography, Drama, History"
tt19770238,Aftersun,Drama
tt24132732,The Deepest Breath,"Documentary, Adventure, Sport"
tt1517268,Barbie,"Adventure, Comedy, Fantasy"
tt1869454,Good Omens,"Comedy, Drama, Fantasy"
tt12024308,Wildflower,"Comedy, Drama"
tt9603212,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller"
tt11274492,The Out-Laws,"Action, Comedy, Crime"
tt21030146,Secret Chef,"Game-Show, Reality-TV"
tt0103776,Batman Returns,"Action, Crime, Fantasy"
tt8105234,Flamin' Hot,"Biography, Drama, History"
tt17663992,Scream VI,"Horror, Mystery, Thriller"
tt1462764,Indiana Jones and the Dial of Destiny,"Action, Adventure, Sci-Fi"
tt2139881,Long Shot,"Comedy, Romance"
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure"
tt9362722,Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure"
tt10857164,Ms. Marvel,"Action, Adventure, Comedy"
tt0120783,The Parent Trap,"Adventure, Comedy, Drama"
tt0480242,Dan in Real Life,"Comedy, Drama, Romance"
tt6462958,I Want You Back,"Comedy, Romance"
tt5151570,Mrs. Harris Goes to Paris,"Comedy, Drama"
tt12263384,Extraction II,"Action, Crime, Thriller"
tt8936646,Extraction,"Action, Crime, Thriller"
tt15671028,No Hard Feelings,"Comedy, Romance"
tt4481414,Gifted,Drama
tt5971474,The Little Mermaid,"Adventure, Family, Fantasy"
tt0382932,Ratatouille,"Animation, Adventure, Comedy"
tt25363184,Stan Lee,"Documentary, Biography"
tt11823076,Tiger King,"Documentary, Biography, Crime"
tt0119528,Liar Liar,"Comedy, Fantasy"
tt5278506,Tickled,"Documentary, Crime, Mystery"
tt10954600,Ant-Man and the Wasp: Quantumania,"Action, Adventure, Comedy"
tt19853258,Still: A Michael J. Fox Movie,"Documentary, Biography"
tt6791350,Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy"
tt12193804,Whitney Houston: I Wanna Dance with Somebody,"Biography, Drama, History"
tt0096895,Batman,"Action, Adventure"
tt1630029,Avatar: The Way of Water,"Animation, Action, Adventure"
tt1564367,Just Go with It,"Comedy, Romance"
tt7518786,'83,"Drama, History, Sport"
tt15326988,Ghosted,"Action, Adventure, Comedy"
tt4154664,Captain Marvel,"Action, Adventure, Sci-Fi"
tt24141700,Pretty Baby: Brooke Shields,"Documentary, Biography"
tt6718170,The Super Mario Bros. Movie,"Animation, Adventure, Comedy"
tt15255288,Murder Mystery 2,"Action, Adventure, Comedy"
tt0799934,Be Kind Rewind,Comedy
tt0094226,The Untouchables,"Crime, Drama, Thriller"
tt0384793,Accepted,Comedy
tt0478311,Knocked Up,"Comedy, Romance"
tt1155056,"I Love You, Man","Comedy, Romance"
tt10640346,Babylon,"Comedy, Drama"
tt10731256,Don't Worry Darling,"Drama, Mystery, Thriller"
tt7975244,Jumanji: The Next Level,"Action, Adventure, Comedy"
tt13111040,The Offer,"Biography, Crime, Drama"
tt3799694,The Nice Guys,"Action, Comedy, Crime"
tt9198364,Three Thousand Years of Longing,"Drama, Fantasy, Romance"
tt3783958,La La Land,"Comedy, Drama, Music"
tt13669038,Women Talking,Drama
tt7322224,Triangle of Sadness,"Comedy, Drama"
tt0120616,The Mummy,"Action, Adventure, Fantasy"
tt1016150,All Quiet on the Western Front,"Drama, History, War"
tt0266543,Finding Nemo,"Animation, Adventure, Comedy"
tt0079116,Escape from Alcatraz,"Biography, Crime, Drama"
tt7798604,We Have a Ghost,"Adventure, Comedy, Family"
tt0112870,Dilwale Dulhania Le Jayenge,"Drama, Romance"
tt14208870,The Fabelmans,Drama
tt0077631,Grease,"Comedy, Musical, Romance"
tt12823454,Your Place or Mine,"Comedy, Romance"
tt1950186,Ford v Ferrari,"Action, Biography, Drama"
tt9686790,Shotgun Wedding,"Action, Comedy, Romance"
tt8962124,Emily in Paris,"Comedy, Drama, Romance"
tt14444726,Tár,"Drama, Music"
tt12003946,Violent Night,"Action, Comedy, Thriller"
tt0098258,Say Anything,"Comedy, Drama, Romance"
tt4686844,The Death of Stalin,"Comedy, Drama, History"
tt0151804,Office Space,Comedy
tt11291274,The Unbearable Weight of Massive Talent,"Action, Comedy, Crime"
tt11976532,Vengeance,"Comedy, Music, Mystery"
tt11813216,The Banshees of Inisherin,"Comedy, Drama"
tt1488589,Guillermo del Toro's Pinocchio,"Animation, Adventure, Drama"
tt11198810,She Said,"Crime, Drama, History"
tt0477347,Night at the Museum,"Adventure, Comedy, Family"
tt7405458,A Man Called Otto,"Comedy, Drama"
tt22667880,"The Boy, the Mole, the Fox and the Horse","Animation, Short, Adventure"
tt0088930,Clue,"Comedy, Crime, Mystery"
tt14109724,Ticket to Paradise,"Comedy, Drama, Romance"
tt14456350,About Fate,"Comedy, Romance"
tt12593682,Bullet Train,"Action, Comedy, Thriller"
tt11564570,Glass Onion,"Comedy, Crime, Drama"
tt0314331,Love Actually,"Comedy, Drama, Romance"
tt6443346,Black Adam,"Action, Adventure, Fantasy"
tt1430607,Arthur Christmas,"Animation, Adventure, Comedy"
tt16233952,Something from Tiffany's,"Comedy, Family, Romance"
tt0304669,The Santa Clause 2,"Comedy, Family, Fantasy"
tt9764362,The Menu,"Comedy, Horror, Thriller"
tt0111070,The Santa Clause,"Comedy, Drama, Family"
tt3640424,Allied,"Action, Drama, Romance"
tt13623136,The Guardians of the Galaxy Holiday Special,"Action, Adventure, Comedy"
tt17220704,A Christmas Story Christmas,"Comedy, Family"
tt10999120,Spirited,"Comedy, Family, Fantasy"
tt0085334,A Christmas Story,"Comedy, Family"
