Const,Title,sex_nudity,violence_gore,profanity,alcohol_drugs,intensity
tt27847051,The Secret Agent,Moderate,Severe,Moderate,Moderate,Severe
tt2935510,Ad Astra,None,Moderate,Mild,None,Moderate
tt30343021,Song Sung Blue,Mild,Mild,Moderate,Mild,Mild
tt14205554,KPop Demon Hunters,None,Mild,None,None,Mild
tt21103218,The Lost Bus,None,Mild,Moderate,None,Severe
tt6263850,Deadpool & Wolverine,Mild,Severe,Severe,Moderate,Moderate
tt15498808,Samuel,None,Mild,Mild,Mild,Mild
tt31590095,For Worse,Moderate,None,Moderate,Severe,Moderate
tt13287846,Napoleon,Moderate,Severe,Mild,Mild,Severe
tt29768334,Train Dreams,Mild,Mild,Mild,Mild,Mild
tt4154796,Avengers: Endgame,None,Moderate,Mild,Mild,Moderate
tt8946378,Knives Out,None,Mild,Moderate,Mild,Mild
tt0096874,Back to the Future Part II,Mild,Mild,Moderate,Mild,Moderate
tt8398600,After Life,Mild,Mild,Severe,Moderate,Mild
tt14142060,Rental Family,Mild,Mild,Mild,Mild,None
tt14905854,Hamnet,Mild,Mild,Mild,Mild,Moderate
tt0082971,Raiders of the Lost Ark,Mild,Moderate,Mild,Mild,Moderate
tt16277242,Society of the Snow,Mild,Severe,Mild,Mild,Severe
tt24950660,Eternity,Mild,Mild,Mild,Mild,Mild
tt0877057,Death Note,Mild,Moderate,Mild,Mild,Severe
tt13833688,The Whale,Moderate,Mild,Moderate,Moderate,Moderate
tt39049192,Even if This Love Disappears from the World Tonight,Mild,None,None,None,Moderate
tt27543632,The Housemaid,Moderate,Severe,Moderate,Mild,Moderate
tt32916440,Marty Supreme,Moderate,Moderate,Severe,Mild,Moderate
tt14107334,The Running Man,Mild,Severe,Moderate,Mild,Moderate
tt2545428,Meru,None,Mild,Moderate,Mild,Moderate
tt12908150,The Life of Chuck,None,Mild,Moderate,Mild,Mild
tt17526714,The Substance,Severe,Severe,Moderate,Moderate,Severe
tt9214772,Monkey Man,Moderate,Severe,Severe,Moderate,Severe
tt12300742,Bugonia,Mild,Severe,Severe,Mild,Severe
tt6604188,Tron: Ares,None,Mild,Mild,Mild,Mild
tt0416449,300.0,Severe,Severe,Mild,None,Severe
tt0371746,Iron Man,Mild,Moderate,Mild,Mild,Moderate
tt39307872,One Last Adventure: The Making of Stranger Things 5,None,Mild,Mild,Mild,Moderate
tt22740896,People We Meet on Vacation,Mild,None,Mild,Mild,None
tt14152140,Darlings,None,Moderate,Mild,Severe,Moderate
tt30144839,One Battle After Another,Moderate,Moderate,Severe,Moderate,Moderate
tt0099487,Edward Scissorhands,Mild,Moderate,Mild,Mild,Moderate
tt0038650,It's a Wonderful Life,None,Mild,None,Mild,Mild
tt14364480,Wake Up Dead Man,Mild,Moderate,Moderate,Moderate,Moderate
tt15732324,OMG 2,Moderate,Mild,Mild,None,Mild
tt2283748,OMG: Oh My God!,None,None,None,None,None
tt6967980,Seeking True Love,None,None,Mild,Mild,None
tt4535650,Dilwale,None,Moderate,Mild,Mild,Mild
tt10895576,Mimi,None,None,None,Mild,None
tt20221436,Emilia Pérez,Mild,Moderate,Moderate,Mild,Moderate
tt31998881,Oh. What. Fun.,Mild,None,Mild,Mild,None
tt2181931,English Vinglish,None,None,None,None,None
tt23849204,12th Fail,None,None,None,Mild,None
tt9218128,Gladiator II,Mild,Severe,Mild,Mild,Moderate
tt0172495,Gladiator,Mild,Severe,Mild,None,Severe
tt2806788,Fukrey,None,None,Mild,Mild,None
tt6225520,The Man Who Invented Christmas,None,Mild,Mild,Mild,Mild
tt11934846,Badhaai Do,None,None,None,Mild,None
tt21626284,Lost Ladies,None,Mild,None,Mild,Mild
tt24852126,Jingle Bell Heist,Mild,None,Moderate,Mild,None
tt0072777,Chhoti Si Baat,None,None,None,None,Mild
tt31973693,The Roses,Mild,Mild,Severe,Moderate,Mild
tt35600079,A Very Jonas Christmas Movie,Mild,None,Mild,Mild,Mild
tt38608937,One Shot with Ed Sheeran,None,None,None,Mild,None
tt29567915,Nuremberg,None,Severe,Mild,Mild,Severe
tt5950044,Superman,Mild,Moderate,Mild,Mild,Moderate
tt34992378,A Merry Little Ex-Mas,Mild,None,None,None,None
tt1312221,Frankenstein,Mild,Severe,Mild,Mild,Severe
tt7725596,Badhaai Ho,Mild,None,None,Mild,None
tt8332922,A Quiet Place Part II,None,Moderate,Mild,None,Severe
tt6644200,A Quiet Place,None,Moderate,None,None,Severe
tt7130300,The Woman in Cabin 10,None,Mild,Mild,Mild,Mild
tt27075958,Fountain of Youth,None,Mild,Mild,Mild,Mild
tt0083866,E.T. the Extra-Terrestrial,None,Mild,Mild,Mild,Moderate
tt3581932,And Then There Were None,Mild,Moderate,Moderate,Moderate,Moderate
tt35520290,The Baltimorons,None,None,Mild,Mild,None
tt37898320,aka Charlie Sheen,Moderate,Mild,Severe,Severe,None
tt2649356,Sharp Objects,Moderate,Severe,Moderate,Severe,Moderate
tt0209144,Memento,Mild,Moderate,Severe,Mild,Moderate
tt2350496,The Lunchbox,None,None,None,Mild,None
tt16431330,A Nice Indian Boy,Mild,None,Mild,Mild,None
tt0155267,The Thomas Crown Affair,Moderate,None,Mild,Mild,None
tt12001534,The Thursday Murder Club,Mild,Mild,Mild,Mild,Mild
tt6341832,Oxygen,None,Mild,Mild,None,Moderate
tt31956415,Freakier Friday,Mild,None,Mild,Mild,None
tt0120184,Sphere,None,Moderate,Mild,Mild,Moderate
tt0071315,Chinatown,Moderate,Moderate,Mild,Mild,Moderate
tt31806037,Adolescence,Mild,Mild,Severe,None,Moderate
tt30988739,Black Bag,Mild,Moderate,Moderate,Mild,Mild
tt31193180,Sinners,Moderate,Severe,Moderate,Mild,Severe
tt0899043,The Amateur,None,Moderate,Mild,Mild,Moderate
tt32149847,Drop,None,Moderate,Mild,Mild,Moderate
tt29603959,Novocaine,Mild,Severe,Severe,Mild,Moderate
tt10676052,The Fantastic Four: First Steps,None,Mild,Mild,None,Moderate
tt6334354,The Suicide Squad,Moderate,Severe,Severe,Moderate,Severe
tt9619824,Final Destination: Bloodlines,None,Severe,Moderate,Mild,Severe
tt14403504,Last Breath,None,None,Mild,None,Moderate
tt9032400,Eternals,Mild,Moderate,Mild,None,Moderate
tt31036941,Jurassic World: Rebirth,None,Moderate,Mild,Mild,Moderate
tt16311594,F1: The Movie,Mild,Mild,Moderate,Mild,Moderate
tt0108358,Tombstone,Mild,Moderate,Moderate,Moderate,Moderate
tt0765429,American Gangster,Moderate,Severe,Severe,Severe,Severe
tt0108052,Schindler's List,Severe,Severe,Moderate,Moderate,Severe
tt30253473,Materialists,Mild,None,Moderate,Mild,Mild
tt0892769,How to Train Your Dragon,None,Mild,None,None,Mild
tt31121295,Deep Cover,Mild,Moderate,Severe,Moderate,Mild
tt9603208,Mission: Impossible - The Final Reckoning,None,Moderate,Mild,Mild,Moderate
tt14513804,Captain America: Brave New World,None,Moderate,Mild,None,Moderate
tt20969586,Thunderbolts*,None,Moderate,Moderate,Mild,Severe
tt11655566,Lilo & Stitch,None,Mild,Mild,None,Mild
tt33088401,Dream Productions,None,None,None,None,Mild
tt1231587,Hot Tub Time Machine,Moderate,Moderate,Severe,Severe,Mild
tt26584495,Companion,Mild,Severe,Moderate,Mild,Moderate
tt14164922,Asterix & Obelix: The Big Fight,None,Mild,None,Mild,Mild
tt20214908,Another Simple Favor,Mild,Moderate,Severe,Moderate,Mild
tt7040874,A Simple Favor,Moderate,Mild,Moderate,Mild,Mild
tt7985704,Operation Fortune: Ruse de Guerre,None,Moderate,Moderate,Mild,Mild
tt0099077,Awakenings,None,None,Mild,Mild,Mild
tt0071360,The Conversation,Mild,Moderate,Mild,Mild,Moderate
tt0313542,Runaway Jury,Mild,Mild,Mild,Mild,Mild
tt0093260,Innerspace,Mild,Mild,Mild,Mild,Mild
tt28015403,Heretic,Mild,Moderate,None,None,Moderate
tt24176060,Queer,Severe,Mild,Moderate,Severe,Moderate
tt13186482,Mufasa: The Lion King,None,Mild,None,None,Moderate
tt0275847,Lilo & Stitch,None,Mild,None,None,Mild
tt1706620,Snowpiercer,None,Severe,Moderate,Moderate,Severe
tt7766378,The Electric State,None,Mild,Mild,None,Mild
tt3263946,Trial by Fire,Moderate,Moderate,Severe,Mild,Moderate
tt12299608,Mickey 17,Moderate,Moderate,Severe,Mild,Moderate
tt14257582,Wolfs,None,Moderate,Severe,Mild,Mild
tt16366836,Venom: The Last Dance,None,Moderate,Moderate,Mild,Moderate
tt7097896,Venom: Let There Be Carnage,None,Moderate,Moderate,Mild,Moderate
tt11563598,A Complete Unknown,Mild,Mild,Moderate,Mild,None
tt23055660,Nickel Boys,None,Moderate,Moderate,Mild,Moderate
tt20215234,Conclave,None,Mild,None,Mild,Mild
tt13654226,The Gorge,Mild,Moderate,Mild,Mild,Moderate
tt1896747,Fly Me to the Moon,None,None,Moderate,Mild,None
tt10919420,Squid Game,Moderate,Severe,Moderate,Mild,Severe
tt16419074,Air,None,None,Severe,None,None
tt28607951,Anora,Severe,Mild,Severe,Severe,Moderate
tt9419884,Doctor Strange in the Multiverse of Madness,None,Severe,Mild,None,Severe
tt18272208,Here,Mild,Mild,Moderate,Mild,Mild
tt3864060,Unstoppable,None,Mild,Moderate,Mild,Mild
tt1726592,Before I Go to Sleep,Mild,Moderate,Mild,None,Moderate
tt27657135,Saturday Night,Mild,Mild,Severe,Moderate,Mild
tt8999762,The Brutalist,Severe,Moderate,Mild,Severe,Moderate
tt14948432,Red One,Mild,Mild,Moderate,Mild,Mild
tt14858658,Blink Twice,Moderate,Severe,Moderate,Severe,Severe
tt21191806,Back in Action,None,Mild,Mild,Mild,Mild
tt21823606,A Real Pain,None,None,Severe,Moderate,Mild
tt0195685,Erin Brockovich,Mild,None,Moderate,Mild,Mild
tt6166392,Wonka,None,Mild,None,None,Mild
tt1262426,Wicked,None,Mild,None,None,Mild
tt12810074,Nightbitch,Mild,Mild,Moderate,Mild,Mild
tt26753003,Trap,None,Mild,Mild,Mild,Moderate
tt27403986,Juror #2,None,Mild,Mild,Mild,Mild
tt21382296,Carry-On,None,Moderate,Mild,Mild,Moderate
tt31022050,Our Little Secret,None,None,Mild,Mild,None
tt14855468,That Christmas,None,None,Mild,None,Mild
tt26420234,Music by John Williams,None,Mild,Mild,None,Mild
tt10855768,Missing,None,Moderate,Mild,Mild,Moderate
tt20234774,Wicked Little Letters,Mild,Mild,Severe,Mild,None
tt33395815,An Almost Christmas Story,None,None,None,None,Mild
tt32359447,Hot Frosty,Mild,None,None,None,None
tt23778968,Thelma,None,Mild,Moderate,Mild,Mild
tt23841116,Adrianne & the Castle,None,None,None,None,Moderate
tt12584954,Twisters,None,Mild,Mild,None,Moderate
tt27131358,We Live in Time,Moderate,None,Moderate,None,Mild
tt3581920,The Last of Us,Mild,Severe,Severe,Mild,Severe
tt20502488,Meet Me Next Christmas,Mild,None,None,None,None
tt0443465,Before We Go,None,None,Mild,Mild,None
tt0241303,Chocolat,Mild,Mild,None,Mild,Mild
tt2906216,Dungeons & Dragons: Honor Among Thieves,None,Moderate,Mild,Mild,Mild
tt0083806,Deathtrap,Mild,Moderate,Mild,Mild,Mild
tt18559464,My Old Ass,Mild,None,Severe,Moderate,None
tt0367594,Charlie and the Chocolate Factory,None,Mild,Mild,None,Moderate
tt0405508,Rang De Basanti,None,Moderate,Mild,Mild,Moderate
tt0407887,The Departed,Moderate,Severe,Severe,Moderate,Severe
tt20194882,Lonely Planet,Mild,None,Mild,Mild,None
tt23770030,Memoir of a Snail,Moderate,Moderate,Mild,Moderate,Moderate
tt0084787,The Thing,None,Severe,Moderate,Mild,Severe
tt1130884,Shutter Island,Mild,Severe,Moderate,Moderate,Severe
tt0073195,Jaws,Mild,Severe,Mild,Mild,Severe
tt7737800,Woman of the Hour,Mild,Moderate,Moderate,Mild,Moderate
tt26933824,Nobody Wants This,Mild,None,Moderate,Mild,None
tt14577874,It's What's Inside,Mild,Mild,Severe,Moderate,Moderate
tt0120791,Practical Magic,Mild,Mild,Moderate,Mild,Moderate
tt27902121,Super/Man: The Christopher Reeve Story,None,None,Mild,Mild,None
tt0087800,A Nightmare on Elm Street,Mild,Severe,Moderate,Mild,Severe
tt2345759,The Mummy,Mild,Moderate,Mild,Mild,Moderate
tt13405810,Quiz Lady,None,Mild,Mild,Mild,None
tt1660648,Ricky Stanicky,Mild,Mild,Moderate,Moderate,None
tt0435761,Toy Story 3,None,Mild,None,None,Moderate
tt10767052,Next Goal Wins,Mild,None,Moderate,Mild,None
tt0356470,A Cinderella Story,None,None,None,None,None
tt0120363,Toy Story 2,None,Mild,None,None,Mild
tt21051906,A Family Affair,Mild,None,Mild,Mild,None
tt23289160,Godzilla Minus One,None,Moderate,None,Mild,Severe
tt0379725,Capote,None,Moderate,Mild,Mild,Moderate
tt11080108,The Map of Tiny Perfect Things,None,None,Mild,Mild,None
tt0361841,Little Black Book,Mild,Mild,Moderate,Mild,None
tt20215968,Hit Man,Moderate,Mild,Severe,Mild,None
tt22022452,Inside Out 2,None,None,None,None,Mild
tt9466114,The Idea of You,Mild,None,Mild,Mild,None
tt1058017,The Invention of Lying,Mild,None,Mild,Mild,None
tt3758542,Ferrari,Moderate,Severe,Moderate,Mild,Moderate
tt2183014,Love at First Sight,None,None,Mild,None,None
tt2582846,The Fault in Our Stars,Mild,Mild,Mild,Mild,Moderate
tt3719896,My All-American,Mild,Mild,Mild,None,None
tt21064584,The Iron Claw,Mild,Moderate,Moderate,Moderate,Moderate
tt21276958,Babes,Mild,None,Moderate,Moderate,None
tt17279496,Civil War,None,Severe,Severe,Mild,Severe
tt11152168,IF,None,None,Mild,None,None
tt16426418,Challengers,Moderate,Mild,Moderate,Mild,Mild
tt0758752,Love & Other Drugs,Severe,Mild,Severe,Moderate,Mild
tt1684562,The Fall Guy,None,Moderate,Moderate,Mild,Mild
tt26047818,Anyone But You,Moderate,None,Moderate,Mild,None
tt0092513,Adventures in Babysitting,Mild,Mild,Moderate,Mild,Mild
tt21942866,Dream Scenario,Mild,Moderate,Moderate,Mild,Moderate
tt9185206,"Are You There God? It's Me, Margaret.",Mild,None,None,None,None
tt5027774,"Three Billboards Outside Ebbing, Missouri",Mild,Moderate,Severe,Moderate,Moderate
tt0482571,The Prestige,Mild,Moderate,Mild,Mild,Moderate
tt5177120,The Ministry of Ungentlemanly Warfare,Mild,Severe,Mild,Mild,Moderate
tt21279806,Scoop,Mild,None,None,None,None
tt15009428,Argylle,None,Moderate,Mild,Mild,Mild
tt13745850,The Last Thing He Told Me,Mild,Mild,Moderate,Mild,Mild
tt0871510,Chak De! India,None,None,Mild,None,None
tt21740488,Little Death,Mild,Moderate,Severe,Severe,Moderate
tt10676048,The Marvels,None,Mild,Mild,None,Mild
tt0337741,Something's Gotta Give,Moderate,None,Mild,Mild,None
tt21235248,Ghostbusters: Frozen Empire,Mild,Mild,Mild,Mild,Moderate
tt7775720,Spoiler Alert,Mild,None,None,Mild,Mild
tt13651794,May December,Moderate,None,Mild,Mild,Mild
tt21957774,Irish Wish,None,None,None,Mild,None
tt15239678,Dune: Part Two,Mild,Moderate,Mild,Mild,Moderate
tt15078804,Problemista,Mild,Mild,Mild,Mild,Mild
tt13452446,Damsel,None,Moderate,None,None,Moderate
tt15258106,Arctic Ascent with Alex Honnold,None,Mild,Mild,None,Moderate
tt14230458,Poor Things,Severe,Severe,Severe,Moderate,Moderate
tt7160372,The Zone of Interest,None,Mild,None,Mild,Moderate
tt23561236,American Fiction,Mild,Mild,Severe,Moderate,Mild
tt17009710,Anatomy of a Fall,Mild,Mild,Moderate,Mild,Moderate
tt13238346,Past Lives,None,None,Mild,Mild,None
tt0092890,Dirty Dancing,Mild,Mild,Mild,Mild,Mild
tt15789038,Elemental,None,None,None,None,Mild
tt5537002,Killers of the Flower Moon,Mild,Severe,Moderate,Mild,Severe
tt22687790,A Haunting in Venice,None,Moderate,Mild,Mild,Moderate
tt5535276,Maestro,Mild,None,Mild,Moderate,Mild
tt14849194,The Holdovers,Mild,None,Moderate,Moderate,Mild
tt0816692,Interstellar,None,Mild,Mild,None,Moderate
tt0246460,Die Another Day,Moderate,Moderate,Mild,Mild,Moderate
tt16968450,The Wonderful Story of Henry Sugar,None,None,None,Mild,None
tt28912758,The Swan,None,Mild,None,None,Moderate
tt28912858,The Rat Catcher,None,Mild,None,None,Mild
tt28912885,Poison,None,None,Mild,None,Mild
tt4857264,The Invisible Guest,None,Mild,Mild,Mild,Moderate
tt9140554,Loki,None,Moderate,Mild,None,Moderate
tt21328106,Candy Cane Lane,None,None,Mild,None,None
tt13430858,What's Love Got to Do with It?,Mild,None,Mild,Mild,None
tt0088258,This Is Spinal Tap,Mild,None,Moderate,Mild,None
tt14993250,Rocky Aur Rani Kii Prem Kahaani,Mild,None,Mild,Mild,None
tt15354916,Jawan,None,Moderate,Mild,Moderate,Severe
tt1922777,Sinister,None,Severe,Mild,Mild,Severe
tt7784604,Hereditary,Moderate,Severe,Moderate,Moderate,Severe
tt1695843,Haunted Mansion,None,Mild,Mild,Mild,Moderate
tt17527468,Bottoms,Mild,Moderate,Severe,None,Moderate
tt1175709,All Good Things,Mild,Moderate,Moderate,Moderate,Mild
tt1230414,It's Complicated,Mild,None,Mild,Moderate,None
tt4495098,Gran Turismo,None,Mild,Moderate,Mild,Moderate
tt0095159,A Fish Called Wanda,Moderate,Mild,Moderate,Mild,Mild
tt10276482,Love Again,Mild,None,Mild,Mild,None
tt0439572,The Flash,Mild,Moderate,Moderate,Mild,Moderate
tt21276878,You Are So Not Invited to My Bat Mitzvah,Mild,None,Mild,Mild,None
tt15398776,Oppenheimer,Moderate,Mild,Moderate,Mild,Moderate
tt12758060,Tetris,None,Mild,Moderate,Mild,Mild
tt19770238,Aftersun,Mild,None,Mild,Mild,Mild
tt24132732,The Deepest Breath,None,Mild,Mild,Mild,Moderate
tt1517268,Barbie,Mild,None,Mild,None,None
tt1869454,Good Omens,Mild,Mild,Mild,Mild,Mild
tt12024308,Wildflower,Mild,Mild,Moderate,Mild,Mild
tt9603212,Mission: Impossible - Dead Reckoning Part One,None,Moderate,Mild,Mild,Moderate
tt11274492,The Out-Laws,Mild,Moderate,Severe,Mild,Mild
tt21030146,Secret Chef,None,None,Mild,None,None
tt0103776,Batman Returns,Mild,Moderate,Mild,Mild,Moderate
tt8105234,Flamin' Hot,None,None,Mild,Mild,None
tt17663992,Scream VI,Mild,Severe,Severe,Mild,Severe
tt1462764,Indiana Jones and the Dial of Destiny,None,Moderate,Mild,Mild,Mild
tt2139881,Long Shot,Moderate,Mild,Severe,Moderate,Mild
tt4633694,Spider-Man: Into the Spider-Verse,None,Mild,Mild,None,Mild
tt9362722,Spider-Man: Across the Spider-Verse,None,Mild,Mild,None,Moderate
tt10857164,Ms. Marvel,None,Mild,None,None,None
tt0120783,The Parent Trap,Mild,None,None,Mild,None
tt0480242,Dan in Real Life,Mild,Mild,Mild,Mild,None
tt6462958,I Want You Back,Mild,Mild,Moderate,Moderate,None
tt5151570,Mrs. Harris Goes to Paris,Mild,None,None,Mild,None
tt12263384,Extraction II,None,Severe,Moderate,None,Moderate
tt8936646,Extraction,None,Severe,Moderate,Mild,Moderate
tt15671028,No Hard Feelings,Severe,Mild,Moderate,Mild,None
tt4481414,Gifted,Mild,None,Mild,Mild,None
tt5971474,The Little Mermaid,None,Mild,None,None,Mild
tt0382932,Ratatouille,None,Mild,None,Mild,Mild
tt25363184,Stan Lee,None,None,Mild,Mild,Mild
tt11823076,Tiger King,Mild,Moderate,Severe,Moderate,Moderate
tt0119528,Liar Liar,Moderate,Mild,Moderate,Mild,None
tt5278506,Tickled,Mild,None,Severe,Mild,Moderate
tt10954600,Ant-Man and the Wasp: Quantumania,None,Moderate,Mild,None,Moderate
tt19853258,Still: A Michael J. Fox Movie,None,None,Moderate,Mild,Mild
tt6791350,Guardians of the Galaxy Vol. 3,None,Moderate,Moderate,Mild,Severe
tt12193804,Whitney Houston: I Wanna Dance with Somebody,Mild,Mild,Moderate,Moderate,Mild
tt0096895,Batman,Mild,Moderate,Mild,Mild,Moderate
tt1630029,Avatar: The Way of Water,Mild,Moderate,Moderate,None,Moderate
tt1564367,Just Go with It,Moderate,None,Mild,Mild,None
tt7518786,'83,None,Mild,None,Mild,None
tt15326988,Ghosted,Mild,Moderate,Mild,Mild,Mild
tt4154664,Captain Marvel,None,Mild,Mild,Mild,Mild
tt24141700,Pretty Baby: Brooke Shields,Moderate,None,Mild,Mild,Mild
tt6718170,The Super Mario Bros. Movie,None,Mild,None,None,Mild
tt15255288,Murder Mystery 2,Mild,Moderate,Mild,Mild,Mild
tt0799934,Be Kind Rewind,Mild,None,Mild,Mild,None
tt0094226,The Untouchables,None,Severe,Moderate,Mild,Moderate
tt0384793,Accepted,Mild,Mild,Moderate,Mild,None
tt0478311,Knocked Up,Severe,None,Severe,Severe,Mild
tt1155056,"I Love You, Man",Mild,None,Severe,Moderate,None
tt10640346,Babylon,Severe,Severe,Severe,Severe,Severe
tt10731256,Don't Worry Darling,Moderate,Moderate,Moderate,Mild,Moderate
tt7975244,Jumanji: The Next Level,Mild,Mild,Moderate,None,Mild
tt13111040,The Offer,Mild,Mild,Severe,Moderate,Mild
tt3799694,The Nice Guys,Moderate,Moderate,Severe,Moderate,Mild
tt9198364,Three Thousand Years of Longing,Moderate,Mild,Mild,Mild,Mild
tt3783958,La La Land,None,None,Mild,None,None
tt13669038,Women Talking,Mild,Moderate,Mild,Mild,Moderate
tt7322224,Triangle of Sadness,Mild,Moderate,Moderate,Moderate,Moderate
tt0120616,The Mummy,Mild,Moderate,Mild,Mild,Moderate
tt1016150,All Quiet on the Western Front,None,Severe,Mild,Mild,Severe
tt0266543,Finding Nemo,None,Mild,None,None,Moderate
tt0079116,Escape from Alcatraz,Mild,Moderate,Moderate,Mild,Moderate
tt7798604,We Have a Ghost,None,Mild,Moderate,Mild,Mild
tt0112870,Dilwale Dulhania Le Jayenge,None,Mild,None,Mild,Mild
tt14208870,The Fabelmans,Mild,Mild,Moderate,Mild,Mild
tt0077631,Grease,Mild,Mild,Mild,Mild,None
tt12823454,Your Place or Mine,Mild,None,Mild,Mild,None
tt1950186,Ford v Ferrari,None,Mild,Moderate,Mild,Mild
tt9686790,Shotgun Wedding,Mild,Moderate,Moderate,Mild,Mild
tt8962124,Emily in Paris,Moderate,None,Mild,Mild,None
tt14444726,Tár,Mild,Mild,Moderate,Mild,Mild
tt12003946,Violent Night,None,Severe,Severe,Mild,Moderate
tt0098258,Say Anything,Mild,None,Mild,Mild,None
tt4686844,The Death of Stalin,None,Moderate,Severe,Mild,Mild
tt0151804,Office Space,Mild,None,Severe,Mild,None
tt11291274,The Unbearable Weight of Massive Talent,Mild,Mild,Severe,Moderate,Mild
tt11976532,Vengeance,None,Mild,Moderate,Mild,Mild
tt11813216,The Banshees of Inisherin,Mild,Moderate,Moderate,Mild,Moderate
tt1488589,Guillermo del Toro's Pinocchio,None,Mild,None,Mild,Moderate
tt11198810,She Said,Mild,Mild,Moderate,None,Moderate
tt0477347,Night at the Museum,None,Mild,Mild,None,Mild
tt7405458,A Man Called Otto,None,Mild,Mild,Mild,Moderate
tt22667880,"The Boy, the Mole, the Fox and the Horse",None,None,None,None,Mild
tt0088930,Clue,Mild,Mild,Mild,Mild,Mild
tt14109724,Ticket to Paradise,Mild,None,Mild,Mild,None
tt14456350,About Fate,Mild,Mild,Mild,Mild,None
tt12593682,Bullet Train,Mild,Severe,Severe,Mild,Moderate
tt11564570,Glass Onion,Mild,Mild,Moderate,Moderate,Mild
tt0314331,Love Actually,Severe,None,Moderate,Mild,None
tt6443346,Black Adam,None,Moderate,Mild,None,Moderate
tt1430607,Arthur Christmas,None,None,None,None,Mild
tt16233952,Something from Tiffany's,None,None,Mild,Mild,None
tt0304669,The Santa Clause 2,None,None,None,None,None
tt9764362,The Menu,None,Severe,Moderate,Mild,Moderate
tt0111070,The Santa Clause,None,None,Mild,None,None
tt3640424,Allied,Moderate,Moderate,Moderate,Moderate,Moderate
tt13623136,The Guardians of the Galaxy Holiday Special,None,Mild,Mild,Mild,None
tt17220704,A Christmas Story Christmas,None,None,Mild,Mild,None
tt10999120,Spirited,Mild,None,Mild,Mild,Mild
tt0085334,A Christmas Story,Mild,Mild,Mild,Mild,None
tt0369436,Four Christmases,Mild,Mild,Mild,Mild,None
tt9411972,Where the Crawdads Sing,Moderate,Moderate,Mild,Mild,Moderate
tt14641788,Enola Holmes 2,None,Moderate,None,Mild,Moderate
tt14715170,Falling for Christmas,None,None,None,Mild,None
tt9114286,Black Panther: Wakanda Forever,None,Moderate,Mild,None,Moderate
tt15334032,Raymond & Ray,Mild,Mild,Moderate,Mild,Mild
tt11198330,House of the Dragon,Severe,Severe,Severe,Mild,Severe
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,None,Mild,None,None,Moderate
tt1245492,This Is the End,Moderate,Severe,Severe,Severe,Moderate
tt5198068,Wolfwalkers,None,Mild,None,None,Mild
tt7349950,It: Chapter Two,Mild,Severe,Severe,Mild,Severe
tt1396484,It,Mild,Severe,Severe,Mild,Severe
tt1777606,Rosaline,None,Mild,Moderate,Mild,None
